Origin,Destination,Distance
Mumbai,Pune,148
Mumbai,Ahmedabad,526
Pune,Mumbai,150
Pune,Ahmedabad,660
Pune,Hyderabad,560
Pune,Bengaluru,842
Ahmedabad,Mumbai,526
Ahmedabad,Pune,663
Ahmedabad,Jaipur,660
Ahmedabad,Udaipur,258
Hyderabad,Pune,562
Hyderabad,Bengaluru,576
Hyderabad,Chennai,627
Hyderabad,Goa,674
Bengaluru,Pune,839
Bengaluru,Hyderabad,576
Bengaluru,Chennai,346
Bengaluru,Goa,562
Chennai,Hyderabad,626
Chennai,Bengaluru,345
Chennai,Kochi,690
Kochi,Chennai,690
Kochi,Bengaluru,547
Kochi,Goa,754
Kochi,Thiruvananthapuram,206
Goa,Hyderabad,674
Goa,Kochi,755
Goa,Mumbai,585
Goa,Pune,442
Jaipur,Ahmedabad,659
Jaipur,Udaipur,397
Jaipur,Delhi,308
Udaipur,Ahmedabad,257
Udaipur,Jaipur,397
Udaipur,Mumbai,767
Delhi,Jaipur,307
Delhi,Agra,243
Delhi,Lucknow,548
Agra,Delhi,240
Agra,Lucknow,334
Agra,Kanpur,277
Lucknow,Delhi,553
Lucknow,Agra,333
Lucknow,Kanpur,89
Kanpur,Agra,301
Kanpur,Lucknow,115
Kanpur,Varanasi,328
Varanasi,Kanpur,328
Varanasi,Patna,259
Varanasi,Kolkata,683
Patna,Varanasi,256
Patna,Kolkata,578
Kolkata,Varanasi,680
Kolkata,Patna,554
Kolkata,Bhubaneswar,442
Bhubaneswar,Kolkata,442
Bhubaneswar,Vishakhapatnam,444
Vishakhapatnam,Bhubaneswar,441
Vishakhapatnam,Hyderabad,618
Delhi,Chennai,2208
Mumbai,Delhi,1453
Mumbai,Hyderabad,713
Delhi,Bengaluru,2174
Kolkata,Chennai,1668
Mumbai,Bengaluru,984
Delhi,Mumbai,1452
Mumbai,Kolkata,1886
Chennai,Mumbai,1335
Chennai,Kolkata,1666
Hyderabad,Mumbai,708
Hyderabad,Delhi,1583
Hyderabad,Kolkata,1489
Kolkata,Delhi,1563
Bengaluru,Hyderabad,576
Delhi,Hyderabad,1582
Mumbai,Chennai,1338
Kochi,Bengaluru,547
Kochi,Chennai,691
Kochi,Bengaluru,547
Goa,Thiruvananthapuram,1305
Goa,Hyderabad,674
Goa,Kochi,753
Jaipur,Mumbai,1170
Jaipur,Pune,1191
Jaipur,Ahmedabad,659
Udaipur,Delhi,688
Udaipur,Ahmedabad,257
Delhi,Jaipur,307
Agra,Lucknow,330
Agra,Delhi,240
Lucknow,Kanpur,89
Lucknow,Delhi,558
Kanpur,Agra,301
Varanasi,Lucknow,312
Varanasi,Kanpur,328
Patna,Kolkata,577
Kolkata,Varanasi,680
Bhubaneswar,Patna,831
Vishakhapatnam,Kolkata,882
