station_id,waiting_passengers,next_arrivals,timestamp
0,"{0: 16, 1: 11, 2: 11, 3: 15, 4: 16, 5: 21, 6: 17}",{},1736216520.3177679
0,"{0: 16, 1: 11, 2: 11, 3: 15, 4: 16, 5: 22, 6: 17}",{},1736216520.334767
1,"{0: 25, 1: 29, 2: 24, 3: 2, 4: 18, 5: 7, 6: 25}",{},1736216521.5218549
1,"{0: 25, 1: 29, 2: 24, 3: 2, 4: 18, 5: 7, 6: 25}",{},1736216521.5388565
0,"{0: 16, 1: 11, 2: 11, 3: 15, 4: 16, 5: 22, 6: 17}",{},1736216522.317913
2,"{0: 15, 1: 15, 2: 11, 3: 27, 4: 28, 5: 15, 6: 14}",{},1736216523.2139797
2,"{0: 15, 1: 15, 2: 11, 3: 27, 4: 28, 5: 15, 6: 14}",{},1736216523.265985
1,"{0: 25, 1: 29, 2: 24, 3: 2, 4: 18, 5: 7, 6: 25}",{},1736216523.537002
0,"{0: 16, 1: 11, 2: 11, 3: 15, 4: 16, 5: 22, 6: 17}",{},1736216524.4140708
3,"{0: 24, 1: 6, 2: 13, 3: 17, 4: 28, 5: 11, 6: 17}",{},1736216524.4330728
3,"{0: 24, 1: 6, 2: 13, 3: 17, 4: 28, 5: 11, 6: 17}",{},1736216524.4460704
2,"{0: 15, 1: 15, 2: 11, 3: 27, 4: 28, 5: 15, 6: 14}",{},1736216525.2711334
1,"{0: 25, 1: 29, 2: 24, 3: 2, 4: 18, 5: 7, 6: 25}",{},1736216525.5751522
4,"{0: 22, 1: 18, 2: 26, 3: 21, 4: 20, 5: 7, 6: 5}",{},1736216525.592156
4,"{0: 27, 1: 18, 2: 26, 3: 21, 4: 20, 5: 7, 6: 5}",{},1736216525.600157
0,"{0: 16, 1: 11, 2: 11, 3: 15, 4: 16, 5: 22, 6: 17}",{},1736216526.4122164
3,"{0: 24, 1: 6, 2: 13, 3: 17, 4: 28, 5: 11, 6: 17}",{},1736216526.4432209
5,"{0: 22, 1: 23, 2: 4, 3: 20, 4: 29, 5: 27, 6: 26}",{},1736216526.722241
5,"{0: 22, 1: 23, 2: 4, 3: 20, 4: 29, 5: 27, 6: 26}",{},1736216526.7322416
2,"{0: 15, 1: 15, 2: 11, 3: 27, 4: 28, 5: 15, 6: 14}",{},1736216527.271278
1,"{0: 25, 1: 29, 2: 24, 3: 2, 4: 18, 5: 7, 6: 25}",{},1736216527.568302
4,"{0: 27, 1: 18, 2: 26, 3: 21, 4: 20, 5: 7, 6: 5}",{},1736216527.5993032
6,"{0: 21, 1: 14, 2: 16, 3: 30, 4: 1, 5: 12, 6: 14}",{},1736216527.9133291
6,"{0: 21, 1: 14, 2: 16, 3: 30, 4: 1, 5: 12, 6: 14}",{},1736216527.9313323
0,"{0: 16, 1: 11, 2: 11, 3: 15, 4: 16, 5: 22, 6: 17}",{},1736216528.4133673
3,"{0: 24, 1: 6, 2: 13, 3: 17, 4: 28, 5: 11, 6: 17}",{},1736216528.44338
5,"{0: 22, 1: 23, 2: 4, 3: 20, 4: 29, 5: 27, 6: 26}",{},1736216528.724386
7,"{0: 6, 1: 27, 2: 27, 3: 7, 4: 18, 5: 3, 6: 6}",{},1736216529.0544157
7,"{0: 8, 1: 27, 2: 27, 3: 7, 4: 18, 5: 3, 6: 6}",{},1736216529.081416
2,"{0: 15, 1: 15, 2: 11, 3: 27, 4: 28, 5: 15, 6: 14}",{},1736216529.2714272
1,"{0: 25, 1: 29, 2: 24, 3: 2, 4: 18, 5: 7, 6: 25}",{},1736216529.5684485
4,"{0: 27, 1: 18, 2: 26, 3: 21, 4: 20, 5: 7, 6: 5}",{},1736216529.5994506
6,"{0: 21, 1: 14, 2: 16, 3: 30, 4: 1, 5: 12, 6: 14}",{},1736216529.9114754
8,"{0: 0, 1: 23, 2: 8, 3: 12, 4: 10, 5: 27, 6: 30}",{},1736216530.3805134
8,"{0: 4, 1: 23, 2: 8, 3: 12, 4: 10, 5: 27, 6: 30}",{},1736216530.3895094
0,"{0: 16, 1: 11, 2: 11, 3: 15, 4: 16, 5: 22, 6: 17}",{},1736216530.4175146
3,"{0: 24, 1: 6, 2: 13, 3: 17, 4: 28, 5: 11, 6: 17}",{},1736216530.443517
5,"{0: 22, 1: 23, 2: 4, 3: 20, 4: 29, 5: 27, 6: 26}",{},1736216530.7255378
7,"{0: 8, 1: 27, 2: 27, 3: 7, 4: 18, 5: 3, 6: 6}",{},1736216531.068562
2,"{0: 15, 1: 15, 2: 11, 3: 27, 4: 28, 5: 15, 6: 14}",{},1736216531.2725773
1,"{0: 25, 1: 29, 2: 24, 3: 2, 4: 18, 5: 7, 6: 25}",{},1736216531.6306033
4,"{0: 27, 1: 18, 2: 26, 3: 21, 4: 20, 5: 7, 6: 5}",{},1736216531.6366043
9,"{0: 30, 1: 22, 2: 3, 3: 19, 4: 23, 5: 30, 6: 10}",{},1736216531.6646092
9,"{0: 30, 1: 22, 2: 3, 3: 19, 4: 23, 5: 30, 6: 10}",{},1736216531.682609
6,"{0: 21, 1: 14, 2: 16, 3: 30, 4: 1, 5: 12, 6: 14}",{},1736216531.9116266
